L1,L2,t,d,Stress,Displacement
40.0,30.0,4.0,12.0,23.013,9.645
40.0,30.0,4.0,18.0,22.686,9.96
40.0,30.0,4.0,24.0,22.383,10.522
40.0,30.0,8.0,12.0,6.1109,1.172
40.0,30.0,8.0,18.0,6.0949,1.222
40.0,30.0,8.0,24.0,6.0249,1.306
40.0,30.0,12.0,12.0,2.7568,3.417
40.0,30.0,12.0,18.0,2.7331,3.593
40.0,30.0,12.0,24.0,2.8522,3.895
40.0,60.0,4.0,12.0,22.753,9.634
40.0,60.0,4.0,18.0,22.517,9.95
40.0,60.0,4.0,24.0,22.288,10.512
40.0,60.0,8.0,12.0,6.0172,1.173
40.0,60.0,8.0,18.0,6.2528,1.222
40.0,60.0,8.0,24.0,6.2679,1.307
40.0,60.0,12.0,12.0,2.839,3.407
40.0,60.0,12.0,18.0,2.7836,3.581
40.0,60.0,12.0,24.0,2.83,3.883
40.0,90.0,4.0,12.0,22.706,9.638
40.0,90.0,4.0,18.0,22.638,9.965
40.0,90.0,4.0,24.0,22.429,10.526
40.0,90.0,8.0,12.0,6.0367,1.173
40.0,90.0,8.0,18.0,6.173,1.222
40.0,90.0,8.0,24.0,5.9871,1.307
40.0,90.0,12.0,12.0,2.8972,3.405
40.0,90.0,12.0,18.0,2.8367,3.585
40.0,90.0,12.0,24.0,2.8803,3.882
80.0,30.0,4.0,12.0,23.013,9.645
80.0,30.0,4.0,18.0,22.686,9.96
80.0,30.0,4.0,24.0,22.383,10.522
80.0,30.0,8.0,12.0,6.1109,1.172
80.0,30.0,8.0,18.0,6.0949,1.222
80.0,30.0,8.0,24.0,6.0249,1.306
80.0,30.0,12.0,12.0,2.7568,3.417
80.0,30.0,12.0,18.0,2.7331,3.593
80.0,30.0,12.0,24.0,2.8522,3.895
80.0,60.0,4.0,12.0,22.753,9.634
80.0,60.0,4.0,18.0,22.517,9.95
80.0,60.0,4.0,24.0,22.288,10.512
80.0,60.0,8.0,12.0,6.0172,1.173
80.0,60.0,8.0,18.0,6.2528,1.222
80.0,60.0,8.0,24.0,6.152200000000001,1.307
80.0,60.0,12.0,12.0,2.839,3.407
80.0,60.0,12.0,18.0,2.7836,3.581
80.0,60.0,12.0,24.0,2.83,3.883
80.0,90.0,4.0,12.0,22.706,9.638
80.0,90.0,4.0,18.0,22.638,9.965
80.0,90.0,4.0,24.0,22.429,10.526
80.0,90.0,8.0,12.0,6.0367,1.173
80.0,90.0,8.0,18.0,6.173,1.222
80.0,90.0,8.0,24.0,5.9871,1.307
80.0,90.0,12.0,12.0,2.8972,3.405
80.0,90.0,12.0,18.0,2.8367,3.585
80.0,90.0,12.0,24.0,2.8803,3.882
120.0,30.0,4.0,12.0,23.013,9.645
120.0,30.0,4.0,18.0,22.686,9.96
120.0,30.0,4.0,24.0,22.383,10.522
120.0,30.0,8.0,12.0,6.1109,1.172
120.0,30.0,8.0,18.0,6.0949,1.222
120.0,30.0,8.0,24.0,6.0249,1.306
120.0,30.0,12.0,12.0,2.7568,3.417
120.0,30.0,12.0,18.0,2.7331,3.593
120.0,30.0,12.0,24.0,2.8522,3.895
120.0,60.0,4.0,12.0,22.753,9.634
120.0,60.0,4.0,18.0,22.517,9.95
120.0,60.0,4.0,24.0,22.288,10.512
120.0,60.0,8.0,12.0,6.0172,1.173
120.0,60.0,8.0,18.0,6.2528,1.222
120.0,60.0,8.0,24.0,6.2679,1.307
120.0,60.0,12.0,12.0,2.839,3.407
120.0,60.0,12.0,18.0,2.7836,3.581
120.0,60.0,12.0,24.0,2.83,3.883
120.0,90.0,4.0,12.0,22.706,9.638
120.0,90.0,4.0,18.0,22.638,9.965
120.0,90.0,4.0,24.0,22.429,10.526
120.0,90.0,8.0,12.0,6.0367,1.173
120.0,90.0,8.0,18.0,6.173,1.222
120.0,90.0,8.0,24.0,5.9871,1.307
120.0,90.0,12.0,12.0,2.8972,3.405
120.0,90.0,12.0,18.0,2.8367,3.585
120.0,90.0,12.0,24.0,2.8803,3.882
